x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
333.942,-6.834,279.787,-5.895,279.085,-5.109,279.673,-5.929,279.154,-6.063,281.034,-7.206,280.479,-6.519,280.222,-5.957,279.461,-6.633,279.725,-6.068,385.634,-6.415,355.424,-5.822,355.055,-5.73,354.95,-6.245,354.484,-5.911,356.152,-6.717,355.589,-6.182,354.958,-5.861,354.446,-6.269,355.208,-5.949,659.548,-6.15,635.476,-5.805,634.05,-6.677,635.56,-6.552,634.735,-6.638,634.991,-5.854,635.438,-6.113,635.859,-6.042,633.047,-6.209,634.559,-6.981,385.324,-5.56,355.212,-6.31,354.48,-6.657,355.448,-6.497,354.897,-6.185,355.544,-5.931,355.265,-6.178,355.202,-5.949,353.207,-5.426,354.729,-6.37,4843.52
333.774,-6.933,279.322,-6.268,279.146,-5.161,279.899,-5.494,279.013,-6.12,281.055,-7.445,280.326,-6.19,280.224,-5.88,279.674,-6.753,279.768,-6.075,385.773,-6.439,355.739,-5.95,354.866,-5.302,354.885,-6.205,354.541,-5.954,356.228,-6.778,356.109,-6.028,355.209,-5.741,354.51,-6.282,355.029,-6.318,659.771,-5.708,635.812,-5.717,633.7,-6.83,635.649,-6.291,634.648,-6.725,635.125,-6.051,635.353,-5.893,635.892,-6.229,632.967,-6.173,634.396,-7.161,385.49,-5.436,355.667,-5.816,354.359,-6.697,355.105,-6.7,354.606,-6.377,355.294,-6.117,355.079,-5.937,354.855,-5.655,353.192,-5.326,354.631,-6.109,5054.72
333.621,-6.723,279.688,-6.002,278.958,-5.011,280.014,-5.693,279.216,-6.31,280.984,-7.11,280.497,-6.42,280.157,-6.014,279.352,-6.616,279.85,-6.215,385.423,-6.285,355.561,-6.015,354.83,-5.447,354.895,-6.043,354.754,-5.668,356.295,-6.967,355.466,-5.973,355.022,-5.93,354.423,-6.244,355.185,-6.015,659.7,-5.724,635.685,-5.696,634.226,-6.747,635.786,-6.295,634.58,-6.256,635.166,-6.155,635.355,-6.094,636.028,-6.291,633.168,-6.092,634.292,-7.21,385.452,-5.692,355.727,-5.969,354.557,-6.444,355.044,-6.697,354.448,-6.31,355.369,-5.876,355.461,-6.199,354.867,-5.952,353.474,-5.302,354.567,-6.275,5111.04
333.954,-7.147,279.829,-6.211,279.201,-5.08,279.957,-5.417,279.408,-6.089,281.196,-7.312,280.579,-6.329,279.919,-5.983,279.513,-6.808,279.615,-6.12,385.548,-6.608,355.469,-5.92,355.054,-5.404,355.013,-6.02,354.584,-5.968,356.269,-6.836,355.502,-5.986,354.99,-5.932,354.675,-6.343,355.301,-6.155,659.721,-5.962,635.755,-5.629,634.169,-6.726,635.653,-6.478,634.338,-6.729,635.059,-6.08,635.301,-6.038,635.619,-6.323,632.897,-6.111,634.397,-7.26,385.465,-5.639,355.388,-6.089,354.607,-6.492,355.174,-6.826,354.614,-6.249,355.492,-5.868,355.045,-6.182,354.901,-5.9,353.242,-5.286,354.619,-6.226,5118.08
333.855,-6.879,279.703,-5.977,279.071,-5.136,279.898,-5.791,279.335,-6.177,280.804,-7.244,280.335,-6.395,280.353,-6.058,279.574,-6.782,279.807,-6.143,385.928,-6.772,355.256,-5.964,354.683,-5.344,355.108,-6.151,354.485,-5.949,356.366,-6.698,355.723,-6.281,355.13,-5.77,354.597,-6.075,355.118,-6.004,660.135,-6,635.833,-5.977,634.106,-6.671,635.798,-6.554,634.541,-6.753,634.954,-6.096,635.364,-6.053,635.982,-6.097,633.075,-6.252,634.643,-7.238,385.703,-5.396,355.941,-6.27,354.41,-6.585,355.233,-6.526,354.562,-6.209,355.491,-5.973,355.191,-6.16,355.01,-5.901,353.172,-5.517,354.637,-6.139,5287.04
333.807,-6.919,279.748,-6.132,279.124,-5.112,279.828,-5.64,279.234,-5.84,280.869,-7.232,280.345,-6.333,280.051,-6.205,279.579,-6.628,279.95,-6.351,385.626,-6.322,355.63,-6.154,354.919,-5.575,354.903,-5.968,354.408,-6.026,356.484,-7.291,355.726,-6.123,355.044,-5.667,354.524,-6.233,355.142,-6.387,659.623,-5.757,635.677,-5.633,633.764,-6.753,635.199,-6.425,634.39,-6.584,635.213,-5.871,635.206,-5.918,635.633,-6.166,633.008,-6.143,634.523,-7.097,385.38,-5.566,355.448,-5.998,354.486,-6.439,355.063,-6.378,354.6,-6.346,355.258,-5.772,355.261,-5.961,355.108,-6.074,352.989,-5.44,354.676,-6.234,5033.6
333.834,-7.088,279.47,-5.942,278.784,-5.426,280.047,-5.463,279.241,-6.124,281.049,-7.054,280.41,-6.373,280.13,-6.044,279.548,-6.571,279.662,-5.896,385.687,-6.307,355.618,-5.723,355.101,-5.665,355.34,-6.125,354.429,-5.774,356.256,-7.091,355.837,-6.358,354.998,-5.99,354.535,-6.398,355.015,-6.366,659.685,-6.047,635.904,-5.824,634.294,-6.413,635.566,-6.313,634.595,-6.737,635.045,-6.294,635.343,-6.065,635.923,-6.516,632.968,-5.866,634.578,-7.084,385.486,-5.322,355.684,-5.778,354.411,-6.592,355.116,-6.62,354.549,-6.544,355.445,-6.029,355.203,-6.16,355.069,-6.016,353.419,-5.247,354.582,-6.201,5096.96
333.767,-6.994,279.645,-5.794,278.937,-5.197,279.826,-5.934,279.214,-6.076,280.938,-7.407,280.348,-6.322,280.403,-6.19,279.706,-6.799,279.664,-6.239,385.533,-6.483,355.752,-6.13,354.984,-5.326,354.926,-6.183,354.447,-5.89,356.431,-7.013,355.796,-6.151,354.887,-5.771,354.413,-6.246,355.259,-5.853,659.744,-5.791,635.986,-5.677,634.043,-6.787,635.532,-6.748,634.296,-6.702,635.069,-6.149,635.225,-6.225,635.649,-5.927,633.006,-6.05,634.675,-7.302,385.671,-5.368,355.595,-5.917,354.435,-6.279,355.225,-6.418,354.864,-6.4,355.682,-6.202,355.35,-6.072,355.278,-5.943,353.282,-5.363,354.584,-6.277,5054.72
333.883,-7.006,279.58,-6.054,278.711,-5.255,279.778,-5.494,279.187,-6.309,280.95,-7.345,280.281,-6.057,280.121,-6.025,279.485,-6.844,279.751,-6.287,385.572,-6.343,355.522,-5.948,354.972,-5.552,354.905,-6.018,354.503,-5.852,356.235,-7.161,355.827,-6.444,354.938,-5.668,354.271,-6.205,355.07,-6.018,659.788,-5.995,635.857,-5.696,633.981,-6.936,635.634,-6.326,634.53,-6.455,635.027,-5.857,635.353,-5.92,635.862,-6.019,633.096,-6.118,634.437,-7.39,385.761,-5.553,355.715,-5.924,354.4,-6.526,355.136,-6.468,354.651,-6.365,355.538,-5.963,355.219,-6.115,355.243,-6.016,353.267,-5.489,354.736,-6.146,5139.2
333.79,-7.117,279.46,-6.181,279.053,-5.382,279.917,-5.35,279.508,-6.032,280.729,-7.425,280.543,-6.542,280.09,-5.913,279.305,-6.523,279.755,-6.471,385.671,-6.231,355.447,-5.938,354.64,-5.424,354.837,-6.204,354.824,-6.105,356.603,-7.052,355.42,-6.034,355.04,-5.83,354.55,-6.132,355.177,-6.272,659.677,-6.062,635.521,-5.684,634.199,-6.822,635.6,-6.364,634.446,-6.508,635.199,-5.886,635.364,-6.003,635.833,-6.08,632.862,-5.941,634.61,-7.299,385.42,-5.368,355.623,-5.775,354.179,-6.33,355.381,-6.401,354.509,-6.263,355.619,-6.008,354.971,-6.123,354.994,-6.047,353.31,-5.25,354.69,-6.325,5146.24
