x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,y
333.861,-6.702,279.606,-5.999,279.078,-5.124,280.126,-5.831,279.62,-6.109,280.753,-7.499,280.466,-6.655,280.313,-6.038,279.513,-6.63,279.953,-6.059,385.548,-6.159,355.428,-5.939,355.138,-5.384,355.126,-6.202,354.942,-5.871,356.465,-7.028,355.731,-6.125,355.016,-5.827,354.469,-6.244,355.276,-6.06,659.554,-6.067,635.605,-5.638,634.033,-6.911,635.445,-6.448,634.632,-6.589,635.202,-6.108,635.488,-5.91,635.71,-6.291,632.967,-6.179,634.338,-7.171,385.543,-5.267,355.522,-5.971,354.438,-6.635,355.301,-6.474,354.581,-6.508,355.56,-5.967,355.111,-6.313,355.188,-5.876,353.134,-5.249,354.617,-6.156,1800
334.04,-7.085,279.594,-6.114,278.866,-5.324,279.819,-5.614,279.322,-6.274,280.847,-7.209,280.564,-6.41,280.385,-6.123,279.69,-6.565,279.661,-6.308,385.43,-6.386,355.594,-5.941,355.021,-5.435,355.003,-6.143,354.551,-6.183,356.31,-6.985,355.952,-6.309,354.963,-5.864,354.439,-6.276,355.328,-5.965,659.859,-5.944,635.532,-5.8,633.727,-6.507,635.463,-6.714,634.641,-6.633,635.366,-5.834,635.48,-6.18,636.072,-6.402,632.685,-6.067,634.457,-6.914,385.531,-5.563,355.934,-6.105,354.481,-6.909,354.921,-6.762,354.814,-6.327,355.485,-6.017,355.202,-5.804,354.906,-5.908,353.386,-5.151,354.688,-6.106,1800
333.954,-7.137,279.534,-6.102,279.078,-5.191,280.073,-5.796,279.227,-5.933,280.922,-6.992,280.597,-6.261,280.35,-6.123,279.452,-6.749,279.723,-6.281,385.531,-6.174,355.582,-6.23,354.959,-5.328,355.01,-6.065,354.641,-5.84,356.043,-6.751,355.718,-6.127,355.067,-5.721,354.355,-6.25,355.08,-5.933,659.494,-6.175,635.72,-5.737,634.087,-7.059,635.62,-6.331,634.64,-6.461,635.152,-6.215,635.55,-6.256,635.808,-6.4,633.116,-6.136,634.609,-7.186,385.383,-5.441,355.715,-6.038,354.216,-6.619,355.382,-6.568,354.754,-6.175,355.596,-5.969,355.257,-6.047,355.038,-5.836,353.109,-5.481,354.563,-6.44,1800
334.118,-6.83,279.525,-5.834,279.131,-5.231,279.983,-5.61,279.387,-5.892,280.661,-7.152,280.486,-6.335,280.187,-6.069,279.493,-6.793,279.547,-6.382,385.561,-6.47,355.664,-5.977,355.204,-5.691,355.123,-6.107,354.597,-5.808,356.452,-7.007,355.696,-6.106,354.801,-5.784,354.593,-6.266,355.05,-5.885,659.791,-5.902,636.176,-5.681,634.242,-6.623,635.324,-6.541,634.441,-6.615,635.087,-5.964,635.348,-6.108,635.693,-6.222,633.127,-6.013,634.297,-7.191,385.509,-5.711,355.687,-6.128,354.299,-6.296,355.221,-6.469,355.086,-6.503,355.626,-6.451,355.44,-6.31,354.924,-5.813,353.191,-5.155,354.265,-6.222,1800
333.804,-6.948,279.536,-6.123,278.877,-5.194,280.008,-5.921,279.263,-6.098,281.025,-7.502,280.538,-6.263,280.056,-5.903,279.509,-6.654,279.829,-6.104,385.68,-6.446,355.443,-5.938,354.982,-5.489,354.954,-6.151,354.565,-6.091,356.472,-7.123,355.862,-5.733,354.979,-5.619,354.451,-6.166,355.216,-6.203,659.657,-6.045,635.879,-5.687,634.153,-6.583,635.38,-6.222,634.409,-6.731,635.233,-5.641,635.245,-6.014,635.853,-6.265,632.868,-6.353,634.465,-7.2,385.68,-5.507,355.274,-6.042,354.39,-6.474,355.005,-6.521,354.378,-6.439,355.498,-6.081,355.289,-6.263,355.189,-5.821,353.049,-5.385,354.542,-6.609,1800
333.908,-6.973,279.566,-5.774,279.138,-5.204,280.107,-5.606,279.419,-6.173,280.884,-7.377,280.327,-6.205,280.083,-6.187,279.296,-6.818,279.651,-6.17,385.826,-6.404,355.696,-6.034,354.953,-5.453,354.87,-6.172,354.423,-5.696,356.358,-6.856,355.673,-6.067,354.819,-5.881,354.393,-5.86,355.24,-6.121,659.72,-5.473,635.575,-6.015,633.932,-7.021,635.384,-6.565,634.217,-6.653,635.146,-6.076,635.414,-6.095,636,-6.252,632.882,-6.045,634.298,-7.037,385.422,-5.307,355.76,-5.835,354.274,-6.493,355.297,-6.776,354.443,-6.691,355.503,-6.113,355.189,-6.21,354.732,-5.852,353.085,-5.221,354.654,-6.171,1800
333.934,-7.115,279.759,-5.946,279.057,-5.045,279.79,-5.554,279.335,-5.975,281.002,-7.387,280.24,-6.215,280.16,-6.015,279.722,-6.583,279.589,-6.438,385.589,-6.393,355.444,-5.814,354.705,-5.465,354.81,-6.22,354.774,-5.998,356.262,-7.388,355.71,-6.076,354.992,-5.681,354.102,-6.35,355.21,-6.141,659.728,-5.994,635.597,-6.012,633.921,-6.847,635.642,-6.433,634.539,-6.562,635.131,-5.756,635.297,-6.183,635.936,-6.095,632.905,-6.384,634.472,-7.042,385.546,-5.556,355.543,-5.908,354.585,-6.783,355.271,-6.599,354.672,-6.287,355.458,-6.06,355.148,-6.06,355.121,-5.74,353.321,-5.33,354.608,-6.429,1800
333.787,-6.9,279.49,-6.114,279.059,-5.243,280.024,-5.805,279.232,-5.901,280.809,-7.325,280.49,-6.099,280.1,-6.05,279.437,-6.738,280.084,-6.231,385.884,-6.539,355.752,-6.265,355.243,-5.786,355.056,-6.268,354.491,-5.71,356.036,-6.96,355.643,-6.026,355.056,-5.816,354.414,-6.221,354.98,-5.694,659.928,-5.881,635.748,-5.876,633.982,-6.817,635.59,-6.554,634.686,-6.531,635.061,-5.939,635.382,-5.976,635.805,-6.146,633.006,-6.347,634.511,-6.981,385.487,-5.686,355.608,-5.884,354.203,-6.56,355.312,-6.451,354.565,-6.759,355.467,-6.014,355.261,-5.887,354.961,-5.787,353.292,-5.385,354.418,-6.259,1800
333.791,-6.919,279.672,-6.033,278.813,-5.297,280.204,-5.836,279.045,-6.186,281.008,-7.459,280.197,-6.172,280.181,-6.185,279.617,-6.973,279.758,-6.182,385.691,-6.314,355.423,-6.019,354.824,-5.49,355.184,-6.053,354.632,-5.952,356.222,-6.72,355.705,-5.969,354.885,-5.689,354.418,-6.335,354.967,-6.181,659.858,-5.995,635.692,-5.951,634.032,-6.489,635.374,-6.553,634.339,-6.765,634.948,-5.645,635.162,-6.235,635.539,-6.21,632.784,-6.284,634.246,-7.037,385.31,-5.618,355.673,-6.073,354.187,-6.54,355.066,-6.652,354.542,-6.315,355.25,-6.032,355.252,-6.013,355.221,-5.83,353.211,-5.53,354.555,-6.275,1800
333.887,-6.981,279.562,-6.183,279.153,-5.169,280.006,-5.726,279.473,-5.953,280.942,-7.487,280.328,-6.321,279.911,-5.901,279.413,-6.855,279.779,-6.146,385.796,-6.46,355.499,-6.02,355.014,-5.415,354.93,-5.945,354.727,-5.8,356.267,-6.696,355.625,-5.989,355.132,-5.973,354.349,-6.107,355.162,-5.931,659.933,-6.054,635.828,-5.831,634.311,-6.735,635.706,-6.325,634.441,-6.72,634.963,-6.104,635.113,-6.018,635.636,-6.225,633.063,-6.238,634.371,-7.294,385.494,-5.575,355.502,-6.076,354.473,-6.397,355.122,-6.618,354.575,-6.631,355.523,-5.794,355.096,-6.017,355.121,-6.169,353.13,-5.307,354.84,-6.166,1800
